證期會代碼,公司簡稱,分類代碼,分類名稱
UPDATE,2013/12/18,x,x
0015,富邦,0049,封閉式基金
0050,台灣50,0099P,ETF
0051,中100,0099P,ETF
0052,FB科技,0099P,ETF
0053,寶電子,0099P,ETF
0054,台商50,0099P,ETF
0055,寶金融,0099P,ETF
0056,高股息,0099P,ETF
